DATASET_HEATMAP
#In heatmaps, each ID is associated to multiple numeric values, which are displayed as a set of colored boxes defined by a color gradient
#lines starting with a hash are comments and ignored during parsing
#=================================================================#
#                    MANDATORY SETTINGS                           #
#=================================================================#
#select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throughout this file (except in the SEPARATOR line, which uses space).
SEPARATOR TAB
#SEPARATOR SPACE
#SEPARATOR COMMA

#label is used in the legend table (can be changed later)
DATASET_LABEL	Xylose_growth_rate

#dataset color (can be changed later)
#COLOR #ff0000

#define labels for each individual field column
FIELD_LABELS	Growth

#=================================================================#
#                    OPTIONAL SETTINGS                            #
#=================================================================#


#Heatmaps can have an optional Newick formatted tree assigned. Its leaf IDs must exactly match the dataset FIELD_LABELS.
#The tree will be used to sort the dataset fields, and will be displayed above the dataset. It can have branch lengths defined.
#All newlines and spaces should be stripped from the tree, and COMMA cannot be used as the dataset separator if a FIELD_TREE is provided.
#FIELD_TREE (((f1:0.2,f5:0.5):1,(f2:0.2,f3:0.3):1.2):0.5,(f4:0.1,f6:0.5):0.8):1;



#=================================================================#
#     all other optional settings can be set or changed later     #
#           in the web interface (under 'Datasets' tab)           #
#=================================================================#

#Each dataset can have a legend, which is defined using LEGEND_XXX fields below
#For each row in the legend, there should be one shape, color and label.
#Optionally, you can define an exact legend position using LEGEND_POSITION_X and LEGEND_POSITION_Y. To use automatic legend positioning, do NOT define these values
#Optionally, shape scaling can be present (LEGEND_SHAPE_SCALES). For each shape, you can define a scaling factor between 0 and 1.
#Shape should be a number between 1 and 6, or any protein domain shape definition.
#1: square
#2: circle
#3: star
#4: right pointing triangle
#5: left pointing triangle
#6: checkmark

#LEGEND_TITLE,Dataset legend
#LEGEND_POSITION_X,100
#LEGEND_POSITION_Y,100
#LEGEND_SHAPES,1,2,3
#LEGEND_COLORS,#ff0000,#00ff00,#0000ff
#LEGEND_LABELS,value1,value2,value3
#LEGEND_SHAPE_SCALES,1,1,0.5

#left margin, used to increase/decrease the spacing to the next dataset. Can be negative, causing datasets to overlap.
#MARGIN 0

#width of the individual boxes
#STRIP_WIDTH 25

#always show internal values; if set, values associated to internal nodes will be displayed even if these nodes are not collapsed. It could cause overlapping in the dataset display.
#SHOW_INTERNAL 0


#show dashed lines between leaf labels and the dataset
#DASHED_LINES 1

#if a FIELD_TREE is present, it can be hidden by setting this option to 0
#SHOW_TREE 1

#define the color for the NULL values in the dataset. Use the letter X in the data to define the NULL values
COLOR_NAN	#FFFFFF

#automatically create and display a legend based on the color gradients and values defined below
#AUTO_LEGEND 1


#define the heatmap gradient colors. Values in the dataset will be mapped onto the corresponding color gradient.
COLOR_MIN	#4575B4
COLOR_MAX	#D73027

#you can specify a gradient with three colors (e.g red to yellow to green) by setting 'USE_MID_COLOR' to 1, and specifying the midpoint color
USE_MID_COLOR	1
COLOR_MID	#FFFFBF

#By default, color gradients will be calculated based on dataset values. You can force different values to use in the calculation by setting the values below:
#USER_MIN_VALUE 0
#USER_MID_VALUE 500
#USER_MAX_VALUE 1000

#border width; if set above 0, a border of specified width (in pixels) will be drawn around individual cells
#BORDER_WIDTH,0

#border color; used only when BORDER_WIDTH is above 0
#BORDER_COLOR,#0000ff


#Internal tree nodes can be specified using IDs directly, or using the 'last common ancestor' method described in iTOL help pages
#=================================================================#
#       Actual data follows after the "DATA" keyword              #
#=================================================================#
DATA
aciculoconidiumaculeatum	X
alloascoidea_hylecoeti	X
ambrosiozyma_ambrosiae	X
ambrosiozyma_kashinagacola	X
ambrosiozyma_maleeae	0.114615977
ambrosiozyma_monospora	X
ambrosiozyma_oregonensis	0.413391407
ambrosiozyma_philentoma	0.631136889
ambrosiozyma_pseudovanderkliftii	X
ambrosiozyma_vanderkliftii	X
arxula_adeninivorans	0.769422595
ascoidea_asiatica	X
ascoidea_rubescens	X
ashbya_aceri	X
babjeviella_inositovora	1.083011408
barnettozyma_californica	0.624399523
barnettozyma_hawaiiensis	0.468311588
barnettozyma_populi	0.941113457
barnettozyma_pratensis	0.163506687
barnettozyma_salicaria	2.036405683
blastobotrys_americana	X
blastobotrys_mokoenaii	X
blastobotrys_muscicola	X
blastobotrys_nivea	X
blastobotrys_peoriensis	0.482574135
blastobotrys_proliferans	X
blastobotrys_raffinofermentans	0.552371801
blastobotrys_serpentis	X
botryozyma_nematodophila	X
brettanomyces_anomalus	X
brettanomyces_custersianus	X
candida_albicans	X
candida_arabinofermentans	0.240637933
candida_ascalaphidarum	0.491215432
candida_athensensis	X
candida_auris	X
candida_azyma	0.351084261
candida_blattae	0.150390792
candida_boidinii	0.507395715
candida_canberraensis	0.18226014
candida_carpophila	0.521456343
candida_corydali	X
candida_cretensis	0.217685599
candida_dubliniensis	X
candida_emberorum	X
candida_fragi	X
candida_freyschussii	0.15399635
candida_fructus	X
candida_gatunensis	X
candida_glabrata	X
candida_golubevii	X
candida_gorgasii	0.407356458
candida_gotoi	0.134529532
candida_hawaiiana	0.372397298
candida_heveicola	X
candida_hispaniensis	X
candida_homilentoma	0.3715146
candida_incommunis	0.219902048
candida_intermedia	0.395809496
candida_kruisii	0.210634729
candida_montana	X
candida_mycetangii	0.227010724
candida_orba	X
candida_oregonensis	0.800973756
candida_orthopsilosis	0.164639414
candida_parapsilosis	0.618039941
candida_ponderosae	X
candida_pyralidae	0.379483897
candida_restingae	0.301896493
candida_rhagii	0.384751819
candida_salmanticensis	X
candida_schatavii	X
candida_sojae	0.234378605
candida_sorboxylosa	0.159208062
candida_stellimalicola	X
candida_succiphila	0.393804245
candida_tammaniensis	0.56179672
candida_tanzawaensis	X
candida_tenuis	0.357583687
candida_tropicalis	0.173575505
candida_vartiovaarae	X
candida_versatilis	X
candida_wancherniae	X
cephaloascus_albidus	0.361234779
cephaloascus_fragrans	X
citeromyces_hawaiiensis	X
citeromyces_matritensis	X
citeromyces_siamensis	X
clavispora_lusitaniae	0.20085219
cyberlindnera_americana	0.695865394
cyberlindnera_fabianii	0.211013736
cyberlindnera_jadinii	0.15288162
cyberlindnera_maclurae	X
cyberlindnera_misumaiensis	0.330916567
cyberlindnera_mrakii	0.173722652
cyberlindnera_petersonii	0.222794836
cyberlindnera_saturnus	0.138286886
cyberlindnera_suaveolens	0.311985854
cyberlindnera_xylosilytica	0.384959885
danielozyma_ontarioensis	X
deakozyma_indianensis	0.610861411
debaryomyces_fabryi	0.41348061
debaryomyces_hansenii	0.531917629
debaryomyces_maramus	0.16481472
debaryomyces_nepalensis	0.580325312
debaryomyces_prosopidis	0.370437394
debaryomyces_subglobosus	0.240921448
dekkera_bruxellensis	X
diddensiella_caesifluorescens	0.325621165
dipodascus_albidus	1.644636283
dipodascus_geniculatus	X
eremothecium_coryli	X
eremothecium_cymbalariae	X
eremothecium_gossypii	X
eremothecium_sinecaudum	X
geotrichum_candidum	X
hanseniaspora_clermontiae	X
hanseniaspora_osmophila	X
hanseniaspora_pseudoguilliermondii	X
hanseniaspora_singularis	X
hanseniaspora_uvarum	X
hanseniaspora_valbyensis	X
hanseniaspora_vinae	X
hyphopichia_burtonii	X
hyphopichia_heimii	0.445830977
kazachstania_aerobia	X
kazachstania_aerobia	X
kazachstania_africana	X
kazachstania_bromeliacearum	X
kazachstania_bromeliacearum	X
kazachstania_intestinalis	X
kazachstania_intestinalis	X
kazachstania_kunashirensis	X
kazachstania_kunashirensis	X
kazachstania_martiniae	X
kazachstania_martiniae	X
kazachstania_naganishii	X
kazachstania_rosinii	X
kazachstania_siamensis	X
kazachstania_siamensis	X
kazachstania_solicola	X
kazachstania_solicola	X
kazachstania_spencerorum	X
kazachstania_spencerorum	X
kazachstania_taianensis	X
kazachstania_transvaalensis	X
kazachstania_transvaalensis	X
kazachstania_turicensis	X
kazachstania_unispora	X
kazachstania_unispora	X
